"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2527","TC-031: Form contains at least one text input field","chromium","2026-09-08","passed","2026-09-08","Practice Form","","",""
"","135","TC-API-010: Response time tidak lebih dari 2 detik","chromium","2026-09-09","passed","2026-09-09","ReqBin API — POST /echo/post/json","","",""
"","2524","TC-034: Inputs nav link is accessible","chromium","2026-09-08","passed","2026-09-08","Navigation & Sidebar","","",""
"","1417","TC-022: Submit button is visible and clickable","chromium","2026-09-08","passed","2026-09-08","Textarea Element","","",""
"","6184","TC-044: Footer contains copyright text","chromium","2026-09-08","passed","2026-09-08","Layout & Responsiveness","","",""
"","116","TC-API-007: Method yang digunakan adalah POST","chromium","2026-09-09","passed","2026-09-09","ReqBin API — POST /echo/post/json","","",""
"","2560","TC-042: Homepage renders on tablet viewport","chromium","2026-09-08","passed","2026-09-08","Layout & Responsiveness","","",""
"","3895","TC-API-010: Response time tidak lebih dari 5 detik","chromium","2026-09-09","failed","2026-09-09","ReqBin API — POST /echo/post/json","","",""
"","132","TC-API-004: Response body mengandung field ""success""","chromium","2026-09-09","passed","2026-09-09","ReqBin API — POST /echo/post/json","","",""
"","25696","TC-045: Contact link in footer is visible","chromium","2026-09-08","passed","2026-09-08","Layout & Responsiveness","","",""
"","453","TC-API-011: POST dengan extra field tidak menyebabkan error","chromium","2026-09-09","passed","2026-09-09","ReqBin API — POST /echo/post/json","","",""
"","140","TC-API-009: POST dengan Price desimal dikirim dengan benar","chromium","2026-09-09","passed","2026-09-09","ReqBin API — POST /echo/post/json","","",""
"","5727","TC-013: Checkbox page loads correctly","chromium","2026-09-08","passed","2026-09-08","Checkbox Elements","","",""
"","1333","TC-008: Input accepts special characters","chromium","2026-09-08","passed","2026-09-08","Text Input Element","","",""
"","118","TC-API-008: POST dengan Quantity lebih besar tetap mengembalikan 200","chromium","2026-09-09","passed","2026-09-09","ReqBin API — POST /echo/post/json","","",""
"","4432","TC-019: User can type text into the textarea","chromium","2026-09-08","passed","2026-09-08","Textarea Element","","",""
"","124","TC-API-006: Request body mengandung semua field wajib (Id, Customer, Quantity, Price)","chromium","2026-09-09","passed","2026-09-09","ReqBin API — POST /echo/post/json","","",""
"","6013","TC-009: Button page loads and button is visible","chromium","2026-09-08","passed","2026-09-08","Button Elements","","",""
"","5915","TC-023: Select page loads and dropdown is visible","chromium","2026-09-08","passed","2026-09-08","Select Dropdown Element","","",""
"","5292","TC-043: Logo is displayed on homepage","chromium","2026-09-08","passed","2026-09-08","Layout & Responsiveness","","",""
"","116","TC-API-012: POST dengan payload kosong tidak crash (bukan 5xx)","chromium","2026-09-09","passed","2026-09-09","ReqBin API — POST /echo/post/json","","",""
"","118","TC-API-014: POST dengan Quantity = 0 dikirim dengan benar","chromium","2026-09-09","passed","2026-09-09","ReqBin API — POST /echo/post/json","","",""
"","7577","TC-018: Textarea page loads and textarea is visible","chromium","2026-09-08","passed","2026-09-08","Textarea Element","","",""
"","1400","TC-003: Quick start links are visible on homepage","chromium","2026-09-08","passed","2026-09-08","Homepage","","",""
"","3587","TC-API-009: POST dengan Price desimal tetap mengembalikan 200","chromium","2026-09-09","failed","2026-09-09","ReqBin API — POST /echo/post/json","","",""
"","116","TC-API-013: POST dengan Price = 0 dikirim dengan benar","chromium","2026-09-09","passed","2026-09-09","ReqBin API — POST /echo/post/json","","",""
"","6137","TC-020: Textarea can be cleared","chromium","2026-09-08","passed","2026-09-08","Textarea Element","","",""
"","18422","TC-001: Homepage loads and has correct title","chromium","2026-09-08","passed","2026-09-08","Homepage","","",""
"","2768","TC-026: Submit after selection shows result","chromium","2026-09-08","passed","2026-09-08","Select Dropdown Element","","",""
"","1711","TC-039: Alerts nav link is accessible","chromium","2026-09-08","passed","2026-09-08","Navigation & Sidebar","","",""
